B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B

N,N,N,N,N,N,N,N,N
F,F,F,N,N,N,N,N,N
F,A,F,N,N,N,N,N,N
F,F,F,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,M,N,N
B,B,B,B,B,N,N,N,N
B,B,B,B,B,N,N,N,N
B,B,B,B,B,N,N,N,N

N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,B,N,N,P,N,N,N,N
N,N,N,N,N,N,N,N,N

N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,G,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N

N,N,N,N,N,N,N,N,N
B,B,B,N,N,N,B,N,N
B,B,B,B,B,B,B,B,N
B,B,B,N,N,N,B,N,N
N,N,N,N,N,N,B,N,N
N,N,N,N,N,N,B,N,N
N,N,N,N,N,N,B,N,N
N,N,N,N,B,B,B,B,N
N,N,N,N,N,N,N,N,N

N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,A,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N
